labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12,AR_13
DPVH5,-36.666667,-47.333333,-5,D,-32.272727,-33,-10,D,88.89%,Left-Cerebral-White-Matter,11.11%,WM-hypointensities,NaN,NaN,NaN,NaN,NaN
DPVH6,-39.142857,-42.857143,-5.142857,D,-35.090909,-29,-10,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DPVH7,-43,-37.333333,-4.666667,D,-37.909091,-25,-10,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DPVH8,-46.666667,-33.666667,-5.333333,D,-40.727273,-21,-10,D,96.30%,Left-Cerebral-White-Matter,3.70%,ctx-lh-bankssts,NaN,NaN,NaN,NaN,NaN
DPVH9,-51,-30.5,-5,D,-43.545455,-17,-10,D,3.70%,Left-Cerebral-White-Matter,11.11%,ctx-lh-bankssts,66.67%,ctx-lh-middletemporal,18.52%,ctx-lh-superiortemporal,NaN
DPVH10,-55.333333,-27,-5,D,-46.363636,-13,-10,D,48.15%,Unknown,48.15%,ctx-lh-middletemporal,3.70%,ctx-lh-superiortemporal,NaN,NaN,NaN
DPVH11,-58,-22.666667,-6.666667,D,-49.181818,-9,-10,D,11.11%,Left-Cerebral-White-Matter,88.89%,ctx-lh-middletemporal,NaN,NaN,NaN,NaN,NaN
DPVH12,-61,-19.333333,-7.333333,D,-52,-5,-10,D,44.44%,Left-Cerebral-White-Matter,55.56%,ctx-lh-middletemporal,NaN,NaN,NaN,NaN,NaN
SG1,,,,,,,,,,,,,,,,,
SG2,,,,,,,,,,,,,,,,,
SG3,,,,,,,,,,,,,,,,,
SG4,,,,,,,,,,,,,,,,,
SG5,,,,,,,,,,,,,,,,,
SG6,,,,,,,,,,,,,,,,,
